time,av_autocorr,av_autocorr_echo,sqrt_av_autocorr_echo,forward_upper_env,forward_lower_env,echo_upper_env,echo_lower_env,sqrt_echo_upper_env,sqrt_echo_lower_env
0,0.75,0.763671875,0.8738832158818477,0.75,0.38074690640860076,0.763671875,0.7188742001204002,0.8738832158818477,0.846595368237648
1,-0.71875,0.591796875,0.7692833515681982,0.6759155477854638,-0.71875,0.6745295565436715,0.591796875,0.8198739204004382,0.7692833515681982
2,0.63671875,0.595703125,0.7718180647017793,0.6438230105760765,-0.7760187265031516,0.6020379508802887,0.48014588115901546,0.7750910194478293,0.6993787056227043
3,-0.6328125,0.544921875,0.7381882381886072,0.6343770268916757,-0.6709984540549322,0.544921875,0.3956945547075669,0.7381882381886072,0.6450660646431179
4,0.625,0.4453125,0.667317390751957,0.625,-0.5680622208995545,0.48941764843726787,0.3440744642984236,0.7032442138154464,0.6094973881382424
5,-0.5703125,0.41015625,0.6404344228724749,0.5736226247933489,-0.5703125,0.4465651997725041,0.317367865300099,0.6743323713871583,0.5880164683177941
6,0.5234375,0.390625,0.625,0.5336668364512454,-0.5736787524967901,0.4132671658150628,0.3076162187871545,0.6498267116589592,0.5759159255672236
7,-0.552734375,0.3671875,0.6059599821770412,0.5151941557174733,-0.552734375,0.38542099295772037,0.3068613288611914,0.6274160067312424,0.5681959364363054
8,0.5078125,0.314453125,0.5607612014039488,0.5078125,-0.48060846872138596,0.3606540854615228,0.30717229211066976,0.6055929432375079,0.5603323828688378
9,-0.412109375,0.3046875,0.5519850541454905,0.46259750969777236,-0.4245358756099794,0.3367616300221629,0.30088785972864085,0.5829314029973889,0.5490383821201186
10,0.416015625,0.3125,0.5590169943749475,0.42512819531149726,-0.4004592000660113,0.3125,0.2800702888881532,0.5590169943749475,0.5271262740608953
11,-0.400390625,0.240234375,0.49013709816744133,0.40860471831173345,-0.400390625,0.284418968919268,0.240234375,0.5306654123298102,0.49013709816744133
12,0.408203125,0.216796875,0.46561451330472936,0.408203125,-0.3964119470612526,0.25539319013666983,0.21416575329169654,0.5012020265415263,0.4618613870998822
13,-0.384765625,0.20703125,0.4550068680800324,0.3904808046731416,-0.384765625,0.22609071717278337,0.18011009270595396,0.47118229328520944,0.4226600957592476
14,0.361328125,0.140625,0.375,0.361328125,-0.3521328124120381,0.19813884852829206,0.140625,0.44217249311675694,0.37403375725811083
15,-0.3203125,0.171875,0.414578098794425,0.326581199486976,-0.32513861100262476,0.17317509247015653,0.10611464255480577,0.41574688077567784,0.3233824264129405
16,0.318359375,0.076171875,0.27599252707274524,0.3353374114916924,-0.31023842393039436,0.15283707178550976,0.076171875,0.3934798004457307,0.27599252707274524
17,-0.3046875,0.095703125,0.30935921676911454,0.35140336198195266,-0.3046875,0.13875989673815428,0.07426440428414138,0.37694387119879447,0.26947923214272546
18,0.310546875,0.119140625,0.3451675317871019,0.310546875,-0.29165907305901995,0.13236695011799623,0.0913580948362143,0.3675662586115376,0.29564902843537405
19,-0.267578125,0.1328125,0.3644344934278313,-0.12199382691043394,-0.27490204430162013,0.1328125,0.12026544830753161,0.36478441002786777,0.34340766500641273
