time,av_autocorr,av_autocorr_echo,sqrt_av_autocorr_echo,forward_upper_env,forward_lower_env,echo_upper_env,echo_lower_env,sqrt_echo_upper_env,sqrt_echo_lower_env
0,0.716796875,0.71875,0.8477912478906585,0.716796875,0.520949552086847,0.71875,0.690972940102339,,
1,-0.06640625,0.61328125,0.7831227553838542,0.6652223138030693,-0.06640625,0.6869481213474335,0.61328125,,
2,-0.09765625,0.51953125,0.7207851621669248,0.6019616375133716,-0.09854505225859797,0.6436536452726631,0.51953125,,
3,0.52734375,0.4453125,0.667317390751957,0.52734375,-0.1591551359580864,0.5863334390134617,0.4258160192048298,,
4,0.1484375,0.28515625,0.5340002340823456,0.4449253562212211,-0.15885573952192106,0.5187982632078982,0.28515625,,
5,-0.12109375,0.23046875,0.480071609241788,0.36638555332738,-0.129883137736009,0.4447792645224762,0.23046875,,
6,0.29296875,0.216796875,0.46561451330472936,0.29739351582803164,-0.11798142194624925,0.3680066356471249,0.21214101568774674,,
7,0.11328125,0.18359375,0.42847841252506524,0.24301107810901526,-0.126939570756609,0.29221056927177347,0.17642414296244208,,
8,-0.142578125,0.21875,0.46770717334674267,0.20465368650817894,-0.142578125,0.22112378328296345,0.12478920525207862,,
9,0.177734375,0.072265625,0.2688226645950821,0.18136910240474435,-0.13285891504647113,0.15868270920614158,0.072265625,,
10,0.1328125,0.103515625,0.3217384419058438,0.1699908712288598,-0.11455432713442779,0.11097098000351394,0.039395289178694115,,
11,-0.08984375,0.08203125,0.28641098093474,0.16404921327659203,-0.0909762481097495,0.08203125,0.0149713161590778,,
12,0.02734375,0.001953125,0.04419417382415922,0.15530452884055646,-0.0698021351910029,0.052055527229960305,0.0011360864302563584,,
13,0.140625,-0.005859375,,0.140625,-0.05360692537101907,0.03982868586176628,-0.005859375,,
14,-0.041015625,0.03515625,0.1875,0.10342281790437516,-0.042082382188241965,0.0421747305547467,-0.0028898764721328653,,
15,0.060546875,0.052734375,0.22963966338592295,0.06867310685394709,-0.03435300432408692,0.05416675558593461,0.0012521411983157764,,
16,0.05078125,0.021484375,0.14657549249448218,0.05078125,-0.02951101906086616,0.06866537412500215,0.004660187161004663,,
17,0.005859375,0.005859375,0.07654655446197431,0.009674528490123376,-0.02664866972046106,0.0704823046610409,0.003498108988990949,,
18,-0.0234375,0.0546875,0.23385358667337133,-0.015888364545118612,-0.024890172940144614,0.0546875,-0.005520764875392143,,
19,-0.0234375,-0.0234375,,-0.02297388657446879,-0.023804404052065242,-0.0035658834331564835,-0.0234375,,
