time,av_autocorr_adaptive,av_autocorr_echo_adaptive,av_g_values,av_autocorr_standard,av_autocorr_echo_standard,sqrt_av_autocorr_echo_adaptive,sqrt_av_autocorr_echo_standard,g_history_inst1,echo_adaptive_inst1,forward_adaptive_inst1
0,-0.61328125,0.6171875,0.84,-0.62109375,0.671875,0.7856128181235335,0.81967981553775,0.84,0.6171875,-0.61328125
1,0.46875,0.578125,0.8438281249999999,0.4609375,0.609375,0.7603453162872774,0.7806247497997998,0.8438281249999999,0.578125,0.46875
2,-0.4453125,0.544921875,0.848046875,-0.462890625,0.541015625,0.7381882381886072,0.7355376434962387,0.848046875,0.544921875,-0.4453125
3,0.287109375,0.462890625,0.85259765625,0.23046875,0.439453125,0.6803606580336637,0.6629126073623883,0.85259765625,0.462890625,0.287109375
4,-0.376953125,0.380859375,0.85796875,-0.369140625,0.388671875,0.6171380518166093,0.6234355419768751,0.85796875,0.380859375,-0.376953125
5,0.38671875,0.296875,0.86416015625,0.36328125,0.314453125,0.5448623679425842,0.5607612014039488,0.86416015625,0.296875,0.38671875
6,-0.423828125,0.294921875,0.87119140625,-0.322265625,0.2578125,0.5430670999057114,0.5077524002897476,0.87119140625,0.294921875,-0.423828125
7,0.40625,0.2890625,0.8782421875,0.373046875,0.26171875,0.5376453291901642,0.5115845482420281,0.8782421875,0.2890625,0.40625
8,-0.361328125,0.220703125,0.8853515625,-0.37890625,0.201171875,0.4697905118241534,0.44852187795022885,0.8853515625,0.220703125,-0.361328125
9,0.26171875,0.22265625,0.89314453125,0.263671875,0.220703125,0.47186465220442186,0.4697905118241534,0.89314453125,0.22265625,0.26171875
10,-0.291015625,0.197265625,0.9009179687500001,-0.322265625,0.189453125,0.4441459501109967,0.4352621336620037,0.9009179687500001,0.197265625,-0.291015625
11,0.255859375,0.208984375,0.9089453125000001,0.27734375,0.158203125,0.45714808869774354,0.397747564417433,0.9089453125000001,0.208984375,0.255859375
12,-0.310546875,0.0859375,0.9168554687500001,-0.259765625,0.095703125,0.29315098498896436,0.30935921676911454,0.9168554687500001,0.0859375,-0.310546875
13,0.232421875,0.134765625,0.9259960937500001,0.16796875,0.134765625,0.3671043788897103,0.3671043788897103,0.9259960937500001,0.134765625,0.232421875
14,-0.25,0.109375,0.9346484375000002,-0.2421875,0.12890625,0.33071891388307384,0.3590351654086268,0.9346484375000002,0.109375,-0.25
15,0.224609375,0.07421875,0.9435546875000002,0.177734375,0.103515625,0.2724311839712921,0.3217384419058438,0.9435546875000002,0.07421875,0.224609375
16,-0.21484375,0.08203125,0.9528125000000002,-0.25,0.107421875,0.28641098093474,0.32775276505317236,0.9528125000000002,0.08203125,-0.21484375
17,0.203125,0.04296875,0.9619921875000002,0.126953125,0.0078125,0.2072890493972125,0.08838834764831845,0.9619921875000002,0.04296875,0.203125
18,-0.22265625,0.091796875,0.9715625000000001,-0.171875,0.052734375,0.3029799910885206,0.22963966338592295,0.9715625000000001,0.091796875,-0.22265625
19,0.201171875,0.1328125,0.9806445312500001,0.193359375,0.05859375,0.3644344934278313,0.24206145913796356,0.9806445312500001,0.1328125,0.201171875
