time,av_g_values,av_echo_adaptive,av_echo_g84,av_echo_g97,av_forward_adaptive,av_forward_g84,av_forward_g97,inst1_g_values,inst1_echo_adaptive,inst1_echo_g84,inst1_echo_g97
0,0.84,0.67578125,0.640625,0.65625,-0.630859375,-0.552734375,-0.6796875,0.84,0.67578125,0.640625,0.65625
1,0.9048895524431383,0.57421875,0.64453125,0.58203125,0.638671875,0.662109375,0.66796875,0.9048895524431383,0.57421875,0.64453125,0.58203125
2,0.9328498864002537,0.53125,0.533203125,0.52734375,-0.548828125,-0.5625,-0.638671875,0.9328498864002537,0.53125,0.533203125,0.52734375
3,0.9726418932885258,0.466796875,0.5,0.49609375,0.564453125,0.552734375,0.583984375,0.9726418932885258,0.466796875,0.5,0.49609375
4,0.9370851953576919,0.423828125,0.474609375,0.44140625,-0.53125,-0.458984375,-0.556640625,0.9370851953576919,0.423828125,0.474609375,0.44140625
5,0.9132867299946745,0.404296875,0.4140625,0.40234375,0.5234375,0.45703125,0.515625,0.9132867299946745,0.404296875,0.4140625,0.40234375
6,0.9224871508243007,0.35546875,0.306640625,0.3046875,-0.41796875,-0.380859375,-0.4921875,0.9224871508243007,0.35546875,0.306640625,0.3046875
7,0.8793671991955739,0.30078125,0.318359375,0.259765625,0.4609375,0.396484375,0.484375,0.8793671991955739,0.30078125,0.318359375,0.259765625
8,0.9388854381999832,0.255859375,0.33203125,0.28515625,-0.4921875,-0.392578125,-0.4296875,0.9388854381999832,0.255859375,0.33203125,0.28515625
9,0.863388490773182,0.166015625,0.29296875,0.310546875,0.42578125,0.369140625,0.40625,0.863388490773182,0.166015625,0.29296875,0.310546875
10,0.9152401151110131,0.1796875,0.2265625,0.19140625,-0.384765625,-0.2890625,-0.42578125,0.9152401151110131,0.1796875,0.2265625,0.19140625
11,0.9057487619846899,0.216796875,0.181640625,0.220703125,0.36328125,0.265625,0.453125,0.9057487619846899,0.216796875,0.181640625,0.220703125
12,0.8923081098985551,0.201171875,0.162109375,0.26171875,-0.294921875,-0.1875,-0.388671875,0.8923081098985551,0.201171875,0.162109375,0.26171875
13,0.9402147684328518,0.177734375,0.173828125,0.1796875,0.314453125,0.185546875,0.353515625,0.9402147684328518,0.177734375,0.173828125,0.1796875
14,0.9622291236000337,0.095703125,0.171875,0.15234375,-0.28125,-0.15234375,-0.357421875,0.9622291236000337,0.095703125,0.171875,0.15234375
15,0.8937735046811162,0.12109375,0.15625,0.162109375,0.291015625,0.134765625,0.2734375,0.8937735046811162,0.12109375,0.15625,0.162109375
16,0.8869614771677826,0.13671875,0.087890625,0.125,-0.234375,-0.060546875,-0.283203125,0.8869614771677826,0.13671875,0.087890625,0.125
17,0.9294562703492452,0.1015625,0.15625,0.12890625,0.16015625,0.083984375,0.279296875,0.9294562703492452,0.1015625,0.15625,0.12890625
18,0.9323216159960328,0.08984375,0.07421875,0.080078125,-0.173828125,-0.01171875,-0.23046875,0.9323216159960328,0.08984375,0.07421875,0.080078125
19,0.953312629199899,0.115234375,0.046875,0.146484375,0.1953125,0.046875,0.208984375,0.953312629199899,0.115234375,0.046875,0.146484375
