phi_0,phi_1,phi_2,phi_3,phi_4,phi_5,phi_6,phi_7,phi_8,phi_9,phi_10,phi_11,phi_12,phi_13,phi_14,phi_15,phi_16,phi_17
-2.6735786073613212,-2.1278154943518075,-3.474910590474374,-1.5980037892497543,-3.3829840655095182,-4.064420982753085,-3.896551288267393,-2.8821471105111316,-4.289949962271793,-3.7396534362924334,-4.389224692318416,-4.71042006680217,-3.8145099234747084,-3.034296793868206,-2.7477699598341663,-2.887682748890488,-3.2507483202889347,-1.8916845573703744
-1.6329278404509173,-2.735117173379237,-2.9263613878394157,-3.005252291470149,-3.2901333978648246,-4.390403328498242,-4.203195024354194,-2.1144020409855986,-4.1014644768697215,-4.127070217606797,-4.5778031075352565,-4.154231447083308,-3.9741116267110166,-3.8198322462190566,-1.9845778780499823,-3.047521822442011,-1.910836266414134,-3.038723062185394
-4.165004813943476,-4.566013556814735,-4.343178206346717,-3.1591296478908326,-2.9214620497201063,-4.535350486620352,-3.0299790243811238,-3.910013487072358,-3.8359773190842534,-3.6089664097273633,-2.2571257261628817,-2.293926507690299,-2.872594311745969,-4.337964223919485,-2.3826723408682695,-2.4743420041865662,-4.272969238897442,-2.339456331447942
-3.071053376669748,-3.293282675030447,-4.323162302624036,-4.181317012336439,-4.20979597171275,-2.929005821522838,-3.5494847187955125,-3.6172060566699216,-2.8413611664780847,-2.9465386005788434,-1.89545374920894,-1.763428867482102,-4.655950019878805,-3.888037780361854,-3.6726731824709455,-2.665585586164826,-2.708889575233734,-3.2091106294562204
-2.490058416028832,-3.352728451496474,-4.494204991179647,-3.6677435747968685,-1.606753297253246,-4.236703538552948,-1.5868804901310898,-2.1865162858163254,-4.051228282540434,-2.2424535577074787,-1.7067197932889346,-2.7029534054924107,-3.6970510447847573,-4.473837545025439,-2.4070598729325074,-2.7180198965615827,-3.7084616974448164,-3.2262266132306197
-4.538370759378435,-4.35477628360379,-3.5616105905122004,-1.656196041908787,-4.557451611416838,-2.1064671482426167,-3.9304300082927295,-3.732692644353677,-2.920722931170358,-1.9362313899020611,-3.4247501567259904,-3.579855506421617,-2.601909224765511,-4.3609721068704985,-2.199370242765564,-2.656872411752338,-3.700406307700037,-4.684539993875201
-3.650065512584289,-2.015099631580241,-1.5826441486923364,-4.05660960706819,-3.105697615810664,-1.6721465879177009,-4.583604358859476,-3.6618820206410585,-3.5861908604476365,-1.6884629358614291,-3.272800148624163,-4.363442115101833,-2.6009829017738033,-3.2167940569596096,-2.788096113645298,-4.051253191685384,-3.930586506892338,-3.4200373180505066
-2.7633833859963968,-1.8775995987160679,-1.8624559974904327,-2.62928270324957,-4.284723001556749,-3.2636721680791663,-3.0967814022384643,-2.521694546194302,-2.714118711162927,-1.8516348414913266,-3.549380956824092,-4.2357090145187755,-4.151039121521565,-2.7537432876087227,-4.707471008613927,-1.6889924600988788,-2.7192250862501917,-4.662995846066551
-3.8038226856837776,-1.686627692955891,-2.652443634309153,-3.8668398254792953,-3.9747494314315,-3.979067397830241,-3.32937697661967,-1.5960186084138583,-3.499318307189375,-2.389549263725845,-3.8880013595006435,-4.21571073583456,-2.316552485802697,-3.5143333323000916,-2.4362808237319165,-2.717695569648136,-4.163126877212509,-1.9859171547717134
-2.4011838797814598,-4.1689047578243486,-2.152182785410046,-4.7063613682076735,-4.094390535319635,-3.886250278579177,-1.611858227046222,-2.642659544606728,-1.8489101889548545,-4.0168503251306396,-3.5849810584650044,-2.5477761438683704,-3.9910045380786103,-4.69949372234707,-2.2849520551401987,-2.492394345737891,-2.5142107460059533,-3.8379738778443633
-1.6457819382104577,-4.393263088212514,-3.7373569228124435,-3.1700239874117027,-2.1640407193950812,-1.858309781371076,-3.411233602829486,-4.364566100600595,-1.8217346476918532,-4.240340317075385,-1.8136621428994921,-3.2529209891652555,-3.4956177089038976,-4.564123179005348,-4.4773154452125805,-3.4149643694929996,-2.4625760780296058,-2.692434849538337
-2.0395255970299453,-2.24961121812979,-2.256328734107543,-3.9281692003416664,-3.471245288840213,-2.977163418086308,-2.7637957844894494,-3.3861242908174303,-4.00748323331571,-3.6954036123990375,-2.3963358369637247,-1.7841659655486346,-3.795920546789164,-3.129080911112881,-2.80560461861991,-1.7293368018696218,-4.145190984038691,-4.4032243021988196
-3.0983049614938434,-3.7662388411252516,-2.3119038377001973,-4.54500405730262,-3.3443202229041527,-2.313536899570444,-2.6700225763850716,-3.7678220548881898,-3.5199260025378707,-3.653833513976604,-4.272985262683846,-1.8353563375817612,-2.4456287097816576,-2.8715234538966525,-2.283256527289395,-2.3367782510110082,-3.8295130433908664,-3.6067257175202125
-1.6168826265088976,-4.014264156420451,-3.302985274549493,-4.620506282348318,-1.6956447898498994,-2.2721404325055916,-3.9039600724823815,-2.3882973983679276,-3.7350928103548924,-3.400503265506795,-2.5228831768845583,-3.4751114015466262,-2.1595481705015818,-2.105531481361329,-1.5752669858031658,-2.980007018231628,-3.4016425683644775,-2.5523081764052096
-3.000574793945338,-2.9082795172601497,-2.2272983822955865,-2.2487825016885963,-4.353991415641321,-3.918928323146353,-2.0884393153495644,-4.625855060968711,-4.531917398237191,-4.217870894310284,-1.9270287537787558,-4.498157120588836,-4.306066279626783,-3.3952747286830025,-2.03725863081236,-3.812973791651231,-4.289868488567487,-4.63988291676921
-1.914047241398574,-4.571043468471522,-4.033494570790632,-4.67852312346316,-4.218613625088329,-3.106479214789039,-3.1254980219145647,-2.370678524760944,-3.0173268253906755,-3.8407980729014506,-3.041590830826167,-4.622077367236867,-2.0975436855056264,-3.206690595993962,-4.5885834102668355,-3.269694047396108,-2.705453117850617,-2.541177004239974
-3.274756150682898,-4.187684390588621,-2.8091075645425305,-4.021346157076721,-4.001514906028696,-4.009831241192605,-2.5331635989439514,-2.914496818649323,-2.320625791200532,-2.504640890279309,-1.586403138637697,-2.283085481134599,-2.6736327836954317,-4.648496348951992,-3.3332832284593534,-2.4407530524600993,-4.067098681502679,-4.135174950856544
